"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1420","Collateral Status","chromium","Mon Mar 17 15:20:48 AMT 2025","passed","Mon Mar 17 15:20:50 AMT 2025","","api_tests\stats_page\arbi_xusd\collateral.spec.ts","",""
"","1051","Tokens Base status usdc","chromium","Mon Mar 17 15:20:43 AMT 2025","passed","Mon Mar 17 15:20:44 AMT 2025","Tokens Base status","api_tests\main_page\tokens\base.spec.ts","",""
"","351","Pool WETH/USD+ Aerodrome (0x4D69971CCd4A636c403a3C1B00c85e99bB9B5606) found in the API response (Chain ID: 8453)","chromium","Mon Mar 17 15:20:47 AMT 2025","passed","Mon Mar 17 15:20:47 AMT 2025","Проверка API пулов для разных пар","api_tests\pools_page\pools.spec.ts","",""
"","10203","Annualized Yield","chromium","Mon Mar 17 15:20:50 AMT 2025","passed","Mon Mar 17 15:21:01 AMT 2025","","api_tests\stats_page\arbi_xusd\payouts.spec.ts","",""
"","9471","Daily profits","chromium","Mon Mar 17 15:21:01 AMT 2025","passed","Mon Mar 17 15:21:11 AMT 2025","","api_tests\stats_page\base_usdplus\payouts.spec.ts","",""
"","1024","Tokens Base status ETH","chromium","Mon Mar 17 15:20:43 AMT 2025","passed","Mon Mar 17 15:20:44 AMT 2025","Tokens Base status","api_tests\main_page\tokens\base.spec.ts","",""
"","421","Check values for base","chromium","Mon Mar 17 15:20:45 AMT 2025","passed","Mon Mar 17 15:20:46 AMT 2025","Chain Values","api_tests\main_page\tvl_data\tvl_api.spec.ts","",""
"","354","Pool USDC/USD+ Pancake (0x167c9F0AF189DDF58f4B43683404a45096c23b67) found in the API response (Chain ID: 8453)","chromium","Mon Mar 17 15:20:47 AMT 2025","passed","Mon Mar 17 15:20:47 AMT 2025","Проверка API пулов для разных пар","api_tests\pools_page\pools.spec.ts","",""
"","3635","Payouts status","chromium","Mon Mar 17 15:21:01 AMT 2025","passed","Mon Mar 17 15:21:05 AMT 2025","","api_tests\stats_page\base_usdplus\payouts.spec.ts","",""
"","385","Total Supply status","chromium","Mon Mar 17 15:21:01 AMT 2025","passed","Mon Mar 17 15:21:01 AMT 2025","","api_tests\stats_page\base_ovnplus\supply.spec.ts","",""
"","382","Pool BSC-USD/WBNB Pancake (0x36696169C63e42cd08ce11f5deeBbCeBae652050) found in the API response (Chain ID: 56)","chromium","Mon Mar 17 15:20:48 AMT 2025","passed","Mon Mar 17 15:20:48 AMT 2025","Проверка API пулов для разных пар","api_tests\pools_page\pools.spec.ts","",""
